metric,value
scenario_id,S04_pedestrian_slowdown
category,complex_obstacle
success,True
task_completion_rate,1.0
collision_count,0
lane_invasion_count,0
red_light_violation_count,0
route_deviation_count,0
target_speed_error_kmh,
mean_end_to_end_latency_ms,1.0
failure_reason,
pedestrian_detected,True
pedestrian_detected_time_s,2.7
slowdown_started,True
slowdown_started_time_s,4.5
slowdown_response_time_s,1.7999999999999998
safe_slowdown_completed,True
safe_slowdown_completed_time_s,5.7
slowdown_success,True
min_distance_to_pedestrian,19.496231079101562
distance_to_pedestrian_at_completion,19.496231079101562
ego_speed_at_slowdown_completion_kmh,3.0897804099080286
safe_speed_kmh,15.0
min_safe_distance_m,6.0
slowdown_hold_time_s,1.0000000000000002
max_speed_before_slowdown_kmh,19.42343234332809
min_speed_kmh,0.0
speed_drop_kmh,16.333651933420064
