metric,value
scenario_id,S05_cone_detour
category,complex_obstacle
success,True
task_completion_rate,1.0
collision_count,0
lane_invasion_count,0
red_light_violation_count,0
route_deviation_count,0
target_speed_error_kmh,
mean_end_to_end_latency_ms,1.0
failure_reason,
cone_detected,True
cone_detected_time_s,0.0
detour_started,True
detour_started_time_s,0.0
detour_response_time_s,0.0
detour_completed,True
detour_completed_time_s,10.65
return_to_lane_completed,True
return_to_lane_completed_time_s,13.450000000000001
detour_success,True
return_to_lane_success,True
min_distance_to_cone,3.06148120383915
min_safe_distance_to_cone_m,1.5
max_lateral_offset_m,3.473187812466037
return_hold_time_s,1.0000000000000002
required_return_hold_seconds,1.0
no_cone_ahead_hold_time_s,1.0000000000000002
detection_trigger_mode,front-cone-detection
