metric,value
scenario_id,S07_cut_in_brake
category,emergency_response
success,True
task_completion_rate,1.0
collision_count,0
lane_invasion_count,0
red_light_violation_count,0
route_deviation_count,0
target_speed_error_kmh,
mean_end_to_end_latency_ms,1.0
failure_reason,
cut_in_detected,True
cut_in_detected_time_s,3.0
emergency_brake_started,True
emergency_brake_started_time_s,9.700000000000001
emergency_response_time_s,6.700000000000001
emergency_response_latency_ms,6700.000000000001
safe_brake_completed,True
safe_brake_completed_time_s,11.0
brake_reaction_success,True
safe_follow_success,True
min_front_vehicle_distance,15.18759169021879
min_front_gap,15.187592219369037
min_ttc,2.9834884204946945
max_brake,0.800000011920929
safe_follow_distance_m,7.0
safe_speed_kmh,10.0
safe_follow_hold_time_s,1.0000000000000002
required_safe_follow_seconds,1.0
emergency_trigger_mode,front-vehicle-distance-or-ttc
