metric,value
scenario_id,S12_complex_obstacle_scene2_8km
log_scenario_id,S12_complex_obstacle_scene2_8km_snapped
category,complex_obstacle
success,False
task_completion_rate,0.0
collision_count,0
lane_invasion_count,9
red_light_violation_count,0
route_deviation_count,0
violation_count,9
route_completion,0.984677628114336
target_speed_error_kmh,
target_speed_error,
mean_response_latency_ms,0.0
response_latency_ms,0.0
mean_end_to_end_latency_ms,0.0
mean_asr_latency_ms,0.0
mean_parser_latency_ms,0.0
mean_model_latency_ms,0.0
subtask_missing_rate,0.0
action_success_rate,1.0
failure_reason,lane_invasion
instruction_triggered,True
instruction_trigger_time_s,
pedestrian_detected,True
pedestrian_detected_time_s,26.950000000000003
slowdown_started,True
slowdown_started_time_s,26.950000000000003
slowdown_response_time_s,0.0
safe_slowdown_completed,True
safe_slowdown_completed_time_s,30.8
min_distance_to_pedestrian,12.844559669494629
ego_speed_at_slowdown_completion_kmh,1.3746189592536484e-07
slow_vehicle_detected,True
slow_vehicle_detected_time_s,89.35000000000001
lane_change_started,True
lane_change_started_time_s,92.60000000000001
lane_change_response_time_s,3.25
overtake_completed,True
overtake_completed_time_s,95.95
min_front_vehicle_gap_m,0.026479003591020955
return_to_lane_completed,True
return_to_lane_completed_time_s,100.9
return_hold_time_s,2.000000000000001
bus_stop_detected,True
bus_stop_detected_time_s,144.65
bus_stop_slowdown_started,True
bus_stop_slowdown_started_time_s,144.65
bus_stop_response_time_s,0.0
bus_stop_pass_completed,True
bus_stop_pass_completed_time_s,152.35
ego_speed_at_bus_stop_completion_kmh,27.67343818174903
long_route_completed,True
long_route_completed_time_s,622.5500000000001
required_route_progress_m,8000.0
long_route_progress_m,8001.011054589846
complex_scene2_success,False
