metric,value
scenario_id,S13_extreme_emergency_scene3_6km
log_scenario_id,S13_extreme_emergency_scene3_6km_carla0915
category,emergency_response
success,False
task_completion_rate,0.0
collision_count,0
lane_invasion_count,25
red_light_violation_count,31
route_deviation_count,2
violation_count,58
route_completion,0.993090335039147
target_speed_error_kmh,
target_speed_error,
mean_response_latency_ms,599.9999999999943
response_latency_ms,599.9999999999943
mean_end_to_end_latency_ms,40.93986862051541
mean_asr_latency_ms,0.0
mean_parser_latency_ms,0.0
mean_model_latency_ms,0.0
subtask_missing_rate,1.0
action_success_rate,0.0
failure_reason,route_deviation
instruction_triggered,True
instruction_trigger_time_s,
rain_night_danger_detected,False
danger_detected_time_s,
hazard_score,
slowdown_started,False
slowdown_started_time_s,
slowdown_response_time_s,
safe_speed_reached,True
safe_speed_reached_time_s,0.0
target_speed_limit_success,
cut_in_detected,True
cut_in_detected_time_s,89.05000000000001
emergency_brake_started,True
emergency_brake_started_time_s,89.65
emergency_response_time_s,0.5999999999999943
emergency_response_latency_ms,599.9999999999943
safe_brake_completed,True
safe_brake_completed_time_s,93.25
brake_reaction_success,False
min_front_vehicle_distance,9.983546057978366
min_ttc,0.709338041239921
construction_detected,True
construction_detected_time_s,195.20000000000002
merge_started,True
merge_started_time_s,199.75
merge_completed,True
merge_completed_time_s,205.25
construction_pass_completed,True
construction_pass_completed_time_s,225.3
merge_success,False
worker_detected,True
worker_detected_time_s,86.25
long_route_completed,True
long_route_completed_time_s,489.70000000000005
long_route_progress_m,5941.680703554207
required_route_progress_m,5950.0
extreme_scene3_success,False
